rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
748.0,4041.0,5.4,41.0,24.0,198.0,8.3,1.0,73.0,217.0,4.4,19.0,38.5,127.0,7.09,4.4,22.0,1,2007
490.0,3230.0,6.6,29.0,68.0,600.0,8.8,6.0,71.0,215.0,4.46,20.0,35.5,125.0,7.05,4.55,21.0,0,2007
269.0,892.0,3.3,9.0,26.0,205.0,7.9,1.0,71.0,230.0,4.4,26.0,36.0,127.0,6.96,4.14,22.0,0,2007
678.0,2775.0,4.1,32.0,207.0,1868.0,9.0,13.0,73.0,226.0,4.52,28.0,34.5,122.0,6.88,4.22,23.0,0,2007
291.0,1431.0,4.9,14.0,34.0,318.0,9.4,2.0,70.0,210.0,4.54,21.0,37.0,122.0,7.0,4.14,21.0,0,2007
497.0,2389.0,4.8,15.0,114.0,995.0,8.7,2.0,70.0,191.0,4.46,26.0,35.5,121.0,7.005,4.23,23.0,0,2007
654.0,3320.0,5.1,25.0,88.0,799.0,9.1,3.0,74.0,233.0,4.68,24.0,35.0,120.0,7.005,4.23,21.0,0,2007
807.0,5164.0,6.4,52.0,58.0,588.0,10.1,5.0,67.0,186.0,4.39,22.0,35.5,116.0,6.69,4.08,23.0,0,2007
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,73.0,243.0,4.62,19.0,35.0,120.0,7.005,4.23,23.0,1,2007
501.0,2683.0,5.4,16.0,51.0,429.0,8.4,2.0,71.0,228.0,4.66,14.0,34.0,115.0,7.23,4.43,24.0,0,2007
316.0,1863.0,5.9,18.0,56.0,581.0,10.4,2.0,71.0,220.0,4.5,18.0,38.0,114.0,7.22,4.34,22.0,0,2007
446.0,2077.0,4.7,25.0,35.0,376.0,10.7,3.0,70.0,232.0,4.47,19.0,31.5,115.0,7.005,4.23,23.0,0,2007
702.0,3324.0,4.7,11.0,70.0,340.0,4.9,2.0,70.0,211.0,4.75,19.0,30.0,108.0,7.25,4.53,24.0,0,2007
