ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
77.0,317.0,5.54,26.0,22.5,97.0,7.71,4.87,22.0,1,2008
77.0,309.0,5.16,25.0,28.5,104.0,7.75,4.7,23.0,0,2008
78.0,314.0,5.27,25.0,26.0,100.0,7.69,4.75,25.0,0,2008
79.0,303.0,5.2,23.0,22.5,108.0,7.56,4.63,22.0,0,2008
76.0,306.0,5.29,26.0,25.0,104.0,7.75,4.7,24.0,0,2008
77.0,341.0,5.22,31.0,25.5,109.0,7.91,4.68,23.0,2,2008
79.0,320.0,5.45,24.0,25.5,100.0,8.0,5.16,22.0,1,2008
75.0,301.0,5.35,21.0,30.0,103.0,7.62,4.55,23.0,2,2008
75.0,303.0,5.0,28.0,24.5,100.0,7.45,4.78,22.0,1,2008
75.0,293.0,5.24,23.0,21.0,98.0,7.4,4.58,24.0,0,2008
77.0,303.0,5.18,9.0,26.5,109.0,7.65,4.65,24.0,1,2008
77.0,343.0,5.27,31.0,26.0,104.0,7.75,4.7,23.0,1,2008
80.0,310.0,5.28,21.0,28.5,104.0,7.75,4.7,22.0,1,2008
77.0,315.0,5.28,23.0,23.0,106.0,7.47,4.68,24.0,0,2008
77.0,295.0,5.22,22.0,26.5,107.0,7.58,4.69,23.0,1,2008
78.0,332.0,5.36,25.0,20.5,98.0,7.9,4.79,22.0,0,2008
76.0,310.0,5.01,34.0,28.5,104.0,7.75,4.7,23.0,0,2008
77.0,309.0,5.09,33.0,24.0,96.0,7.53,4.69,23.0,1,2009
76.0,332.0,5.28,25.0,28.5,104.0,7.75,4.7,22.0,2,2009
77.0,309.0,5.18,23.0,28.5,110.0,7.86,4.78,22.0,2,2009
76.0,311.0,5.17,25.0,28.5,104.0,7.75,4.7,23.0,2,2009
76.0,309.0,5.16,21.0,30.5,103.0,7.81,4.6,23.0,2,2009
76.0,310.0,5.19,30.0,30.5,99.0,7.56,4.51,23.0,2,2009
78.0,309.0,5.14,24.0,28.5,100.0,7.87,4.91,21.0,1,2009
77.0,309.0,5.26,22.0,24.5,93.0,7.39,4.5,23.0,2,2009
75.0,305.0,5.33,23.0,30.5,103.0,7.75,4.52,23.0,2,2009
80.0,332.0,5.45,24.0,29.0,95.0,8.18,5.06,23.0,2,2009
78.0,307.0,5.06,27.0,33.5,107.0,7.62,4.77,24.0,2,2009
76.0,325.0,5.29,23.0,30.5,98.0,7.68,4.75,23.0,0,2009
75.0,309.0,5.24,23.0,28.0,111.0,7.96,5.04,23.0,1,2009
77.0,333.0,5.22,39.0,28.5,104.0,7.75,4.7,22.0,2,2009
76.0,301.0,5.14,26.0,31.0,99.0,7.69,4.79,23.0,0,2009
77.0,306.0,5.23,23.0,24.5,90.0,7.59,4.7,23.0,0,2009
74.0,309.0,5.4,22.0,28.5,104.0,7.75,4.7,23.0,1,2009
77.0,309.0,5.3,21.0,30.0,100.0,7.65,4.84,23.0,0,2009
80.0,309.0,5.32,19.0,22.0,94.0,7.87,4.88,22.0,1,2009
79.0,304.0,4.96,25.0,28.5,104.0,7.75,4.7,23.0,0,2009
77.0,316.0,5.26,25.0,34.0,110.0,7.86,4.86,23.0,1,2009
76.0,323.0,5.29,20.0,28.5,104.0,7.75,4.7,23.0,0,2009
77.0,315.0,4.81,23.0,34.5,113.0,7.64,4.63,22.0,2,2010
77.0,307.0,5.18,38.0,28.5,104.0,7.75,4.7,21.0,2,2010
77.0,323.0,5.36,21.0,33.0,99.0,8.17,4.97,20.0,2,2010
77.0,331.0,5.24,27.0,27.5,92.0,7.85,4.93,23.0,2,2010
76.0,304.0,5.25,25.0,28.5,95.0,7.74,4.92,21.0,2,2010
77.0,314.0,5.2,26.0,27.5,98.0,7.7,4.75,21.0,2,2010
77.0,316.0,5.21,27.0,29.5,113.0,7.42,4.67,22.0,2,2010
76.0,310.0,5.28,27.0,28.5,104.0,7.75,4.7,23.0,2,2010
76.0,332.0,5.21,29.0,26.0,91.0,8.25,4.97,22.0,0,2010
77.0,303.0,5.21,21.0,31.5,104.0,7.75,4.7,23.0,1,2010
76.0,305.0,5.07,25.0,28.5,104.0,7.75,4.7,22.0,1,2010
80.0,312.0,5.06,32.0,33.5,109.0,7.4,4.51,23.0,1,2010
77.0,328.0,5.15,25.0,27.5,101.0,7.93,4.69,24.0,1,2010
75.0,300.0,5.19,24.0,27.0,101.0,7.6,4.69,23.0,1,2010
75.0,315.0,5.22,33.0,26.5,101.0,7.56,4.51,22.0,1,2010
