rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
27.0,378.0,14.0,6.0,14.0,77.0,263.0,4.72,21.0,34.5,117.0,7.1,4.32,23.0,8.0,2002
127.0,1640.0,12.9,13.0,37.3,75.0,258.0,4.81,18.0,35.0,112.0,6.95,4.32,22.0,12.0,2002
54.0,830.0,15.4,12.0,25.2,76.0,255.0,4.75,21.0,29.0,110.0,7.34,4.29,23.0,2.0,2002
90.0,1213.0,13.5,5.0,37.9,75.0,247.0,4.88,18.0,29.5,112.0,7.58,4.28,23.0,25.0,2002
53.0,598.0,11.3,0.0,13.9,79.0,270.0,4.76,22.0,32.5,115.0,6.84,4.17,23.0,0.0,2002
6.0,79.0,13.2,1.0,7.2,75.0,265.0,4.77,21.0,38.5,117.0,7.1,4.32,22.0,0.0,2002
31.0,480.0,15.5,3.0,17.8,75.0,265.0,4.79,20.0,33.5,111.0,7.43,4.43,22.0,4.0,2002
40.0,564.0,14.1,6.0,24.5,77.0,253.0,4.97,14.0,31.0,114.0,7.37,4.27,23.0,2.0,2002
75.0,958.0,12.9,8.0,25.7,74.0,251.0,4.69,18.0,30.5,113.0,7.07,4.21,22.0,2.0,2002
75.0,958.0,12.9,8.0,25.7,77.0,255.0,4.77,21.0,35.0,120.0,6.87,4.1,23.0,0.0,2002
48.0,481.0,10.0,3.0,15.0,76.0,262.0,4.8,18.0,33.5,117.0,7.1,4.32,23.0,0.0,2002
59.0,584.0,9.9,0.0,22.5,76.0,260.0,4.84,21.0,31.5,104.0,7.1,4.32,22.0,0.0,2002
77.0,1251.0,16.2,8.0,52.1,75.0,257.0,4.65,21.0,37.5,123.0,7.1,4.32,24.0,47.0,2003
79.0,731.0,9.3,8.0,17.0,76.0,272.0,4.78,19.0,30.5,109.0,7.1,4.32,23.0,0.0,2003
122.0,1458.0,12.0,10.0,33.1,75.0,258.0,4.62,26.0,37.0,122.0,6.74,4.25,23.0,21.0,2003
68.0,797.0,11.7,7.0,22.1,78.0,264.0,4.65,25.0,31.0,117.0,7.1,4.32,21.0,79.0,2003
59.0,956.0,16.2,7.0,21.2,76.0,261.0,4.8,20.0,33.5,117.0,7.1,4.32,22.0,1.0,2003
75.0,958.0,12.9,8.0,25.7,76.0,251.0,4.65,28.0,39.5,120.0,7.09,4.31,23.0,1.0,2003
52.0,691.0,13.3,7.0,28.8,74.0,249.0,4.89,16.0,34.5,115.0,7.24,4.32,22.0,8.0,2003
75.0,958.0,12.9,8.0,25.7,76.0,254.0,4.63,17.0,35.5,118.0,7.47,4.53,25.0,0.0,2003
61.0,611.0,10.0,3.0,13.9,75.0,249.0,4.82,26.0,39.0,120.0,7.42,4.42,23.0,2.0,2003
56.0,716.0,12.8,9.0,15.6,78.0,252.0,4.72,24.0,33.5,115.0,7.57,4.3,23.0,2.0,2003
