rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,78.0,1603.0,20.6,12.0,76.3,69.0,184.0,4.41,18.0,38.5,121.0,7.44,4.25,22.0,92.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,115.0,2098.0,18.2,17.0,50.0,73.0,171.0,4.57,18.0,37.5,115.0,7.06,4.07,24.0,5.0,2001
486.0,2324.0,4.8,20.0,36.0,508.0,14.1,4.0,122.0,1807.0,14.4,14.5,46.2,73.0,235.0,4.56,18.0,35.0,120.0,7.0,4.245,22.0,33.0,2001
664.0,3218.0,4.8,28.0,106.0,831.0,7.8,3.0,122.0,1807.0,14.4,14.5,46.2,70.0,197.0,4.44,9.0,32.0,115.0,7.0,4.245,22.0,10.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,18.0,227.0,12.6,1.0,7.6,77.0,256.0,4.85,20.0,34.0,113.0,7.14,4.15,23.0,3.0,2001
324.0,1567.0,4.8,13.0,9.0,70.0,7.8,0.0,122.0,1807.0,14.4,14.5,46.2,70.0,227.0,4.57,24.0,37.5,119.0,7.32,4.22,21.0,45.0,2001
413.0,2522.0,6.1,27.0,24.0,200.0,8.3,1.0,122.0,1807.0,14.4,14.5,46.2,72.0,226.0,4.53,11.0,40.0,123.0,7.08,4.06,22.0,21.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,204.0,2991.0,14.7,29.0,68.0,74.0,209.0,4.51,18.0,41.0,129.0,7.06,3.99,22.0,16.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,40.0,544.0,13.6,3.0,12.4,74.0,275.0,4.99,18.0,30.0,106.0,7.49,4.26,21.0,6.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,40.0,580.0,14.5,4.0,13.8,74.0,204.0,4.49,18.0,43.0,134.0,7.0,4.245,22.0,0.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,54.0,544.0,10.1,5.0,12.4,76.0,255.0,4.76,22.0,33.0,106.0,7.12,4.19,22.0,0.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,59.0,861.0,14.6,3.0,19.1,77.0,256.0,4.96,18.0,35.5,109.0,7.3,4.4,22.0,0.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,159.0,2137.0,13.4,24.0,47.5,70.0,179.0,4.48,18.0,38.0,123.0,7.0,4.245,22.0,11.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,157.0,1974.0,12.6,11.0,45.9,72.0,199.0,4.42,18.0,43.5,126.0,6.56,3.73,23.0,1.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,32.0,383.0,12.0,4.0,9.3,76.0,252.0,5.02,16.0,32.0,113.0,7.4,4.31,24.0,0.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,46.0,543.0,11.8,5.0,12.9,76.0,242.0,4.76,18.0,35.0,120.0,7.0,4.245,22.0,6.0,2001
