qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
682.0,1046.0,65.2,9477.0,80.0,20.0,9.1,9.73,169.2,73.0,222.0,4.59,22.0,35.0,125.0,7.09,4.28,22.0,2,2020
468.0,782.0,59.8,5590.0,39.0,16.0,7.1,7.23,180.3,78.0,231.0,4.89,22.0,27.5,110.0,7.5,4.75,22.0,0,2020
494.0,795.0,62.1,5610.0,43.0,15.0,7.1,7.29,181.0,78.0,224.0,4.795,22.0,32.25,112.0,7.09,4.28,24.0,0,2020
758.0,1138.0,66.6,10098.0,90.0,17.0,8.9,9.78,252.5,77.0,213.0,4.795,22.0,32.25,112.0,7.09,4.28,21.0,2,2021
566.0,837.0,67.6,7652.0,56.0,15.0,9.1,9.67,255.1,74.0,214.0,4.795,22.0,32.25,112.0,7.09,4.28,22.0,1,2021
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,75.0,224.0,4.795,22.0,32.25,112.0,7.09,4.28,21.0,1,2021
423.0,618.0,68.4,5701.0,67.0,9.0,9.2,10.74,167.7,74.0,227.0,4.45,22.0,32.25,112.0,7.09,4.28,22.0,2,2021
413.0,556.0,74.3,6126.0,56.0,7.0,11.0,12.47,157.1,74.0,217.0,4.72,22.0,32.0,116.0,7.04,4.39,23.0,2,2021
552.0,813.0,67.9,7386.0,69.0,15.0,9.1,9.95,263.8,77.0,236.0,5.1,22.0,31.5,113.0,7.08,4.6,23.0,0,2021
287.0,438.0,65.5,3468.0,18.0,8.0,7.9,7.92,247.7,75.0,217.0,4.82,22.0,32.0,110.0,6.95,4.4,22.0,2,2021
728.0,1141.0,63.8,8948.0,72.0,20.0,7.8,8.32,190.4,72.0,211.0,4.65,22.0,32.5,115.0,6.99,4.19,23.0,0,2021
923.0,1476.0,62.5,11436.0,94.0,27.0,7.7,8.2,248.6,73.0,220.0,4.84,22.0,36.5,114.0,7.15,4.44,22.0,0,2021
1045.0,1674.0,62.4,12303.0,81.0,32.0,7.3,7.46,236.6,75.0,217.0,4.73,22.0,33.5,121.0,7.09,4.29,24.0,1,2022
810.0,1304.0,62.1,10239.0,87.0,28.0,7.9,8.22,204.8,75.0,211.0,4.52,22.0,36.0,127.0,7.15,4.29,23.0,1,2022
388.0,618.0,62.8,5191.0,48.0,18.0,8.4,8.64,136.6,73.0,219.0,4.795,22.0,32.25,112.0,7.09,4.28,23.0,0,2022
475.0,687.0,69.1,5967.0,62.0,11.0,8.7,9.77,426.2,73.0,215.0,4.88,22.0,30.0,109.0,7.19,4.4,23.0,0,2022
713.0,1117.0,63.8,10283.0,92.0,23.0,9.2,9.93,277.9,73.0,218.0,4.795,22.0,32.25,112.0,7.09,4.28,21.0,1,2022
552.0,885.0,62.4,7134.0,42.0,16.0,8.1,8.2,158.5,74.0,217.0,4.91,22.0,31.0,112.0,7.0,4.28,25.0,1,2022
993.0,1467.0,67.7,12170.0,81.0,33.0,8.3,8.39,253.5,73.0,212.0,4.84,22.0,27.0,112.0,7.21,4.45,22.0,2,2022
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,70.0,204.0,4.795,22.0,32.25,112.0,7.09,4.28,22.0,2,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,75.0,214.0,4.795,22.0,32.25,112.0,7.09,4.28,21.0,2,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,76.0,244.0,4.43,22.0,40.5,129.0,7.09,4.28,21.0,1,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,76.0,229.0,4.795,22.0,34.0,124.0,7.09,4.28,24.0,1,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,75.0,217.0,4.795,22.0,32.25,112.0,7.09,4.28,25.0,0,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,72.0,207.0,4.795,22.0,35.0,114.0,7.01,4.28,24.0,0,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,75.0,213.0,4.795,22.0,32.25,112.0,7.09,4.28,25.0,1,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,75.0,220.0,4.64,22.0,37.5,122.0,6.89,4.25,24.0,0,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,74.0,203.0,4.56,22.0,32.5,121.0,7.28,4.44,23.0,0,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,72.0,207.0,4.795,22.0,32.25,112.0,7.09,4.28,25.0,0,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,78.0,231.0,4.795,22.0,33.0,114.0,7.22,4.41,23.0,0,2023
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,73.0,214.0,4.795,22.0,32.25,112.0,7.09,4.28,22.0,2,2024
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,76.0,210.0,4.795,22.0,32.25,112.0,7.09,4.28,23.0,2,2024
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,76.0,223.0,4.795,22.0,32.25,112.0,7.09,4.28,22.0,2,2024
