rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
106.0,1812.0,17.1,18.0,64.7,76.0,196.0,4.44,15.0,39.5,136.0,6.93,4.33,22.0,0,2013
252.0,2930.0,11.6,32.0,77.1,72.0,201.0,4.51,14.0,33.5,117.0,7.15,4.47,21.0,1,2013
165.0,2398.0,14.5,24.0,51.0,75.0,210.0,4.37,15.0,36.0,122.0,6.93,4.2,22.0,0,2013
202.0,3334.0,16.5,27.0,65.4,74.0,208.0,4.52,11.0,32.5,119.0,7.01,4.32,23.0,1,2013
205.0,2570.0,12.5,17.0,77.9,74.0,206.0,4.58,15.0,36.0,122.0,6.93,4.2,21.0,1,2013
120.0,1364.0,11.4,7.0,27.3,69.0,183.0,4.27,13.0,36.0,132.0,6.93,4.2,22.0,0,2013
227.0,2994.0,13.2,16.0,61.1,71.0,189.0,4.45,20.0,37.0,120.0,6.8,4.02,22.0,0,2013
210.0,3218.0,15.3,41.0,82.5,70.0,193.0,4.52,11.0,34.5,117.0,6.81,4.09,22.0,0,2013
99.0,1230.0,12.4,13.0,30.8,67.0,173.0,4.58,7.0,32.0,117.0,6.81,4.37,21.0,0,2013
161.0,2535.0,15.7,22.0,65.0,71.0,206.0,4.38,22.0,34.0,131.0,6.68,4.1,22.0,0,2013
183.0,2594.0,14.2,24.0,103.8,72.0,204.0,4.53,8.0,33.0,118.0,6.91,4.01,23.0,0,2013
147.0,2224.5,14.9,17.0,57.4,70.0,199.0,4.43,15.0,36.5,123.0,7.09,4.22,22.0,0,2013
204.0,2594.0,12.7,24.0,68.3,72.0,194.0,4.38,16.0,33.5,124.0,6.93,4.35,21.0,1,2013
45.0,834.0,18.5,6.0,41.7,74.0,204.0,4.43,12.0,31.5,120.0,6.93,4.2,23.0,0,2013
175.0,2854.0,16.3,18.0,56.0,74.0,212.0,4.56,11.0,29.5,107.0,6.93,4.31,22.0,0,2013
189.0,3207.0,17.0,23.0,97.2,75.0,194.0,4.51,7.0,34.5,122.0,6.65,4.33,20.0,0,2013
240.0,3391.0,14.1,27.0,94.2,73.0,211.0,4.43,16.0,34.0,126.0,6.95,4.34,21.0,1,2014
151.0,2499.0,16.5,17.0,96.1,77.0,231.0,4.53,12.0,37.0,122.0,7.08,4.26,21.0,1,2014
143.0,2340.0,16.4,12.0,58.5,71.0,198.0,4.38,7.0,38.5,122.0,6.69,3.94,21.0,1,2014
226.0,3272.0,14.5,24.0,86.1,70.0,189.0,4.33,16.0,36.0,120.0,6.76,3.81,20.0,1,2014
84.0,1506.0,17.9,19.0,53.8,77.0,240.0,4.61,13.0,32.5,119.0,7.33,4.39,23.0,1,2014
248.0,3655.0,14.7,29.0,101.5,72.0,192.0,4.52,15.0,38.0,127.0,6.93,4.01,22.0,1,2014
262.0,3759.0,14.3,24.0,73.7,75.0,212.0,4.46,21.0,35.5,120.0,6.95,4.18,22.0,1,2014
156.0,2412.0,15.5,21.0,73.1,72.0,175.0,4.4,15.0,38.0,124.0,7.09,4.2,22.0,0,2014
233.0,3031.0,13.0,38.0,116.6,73.0,212.0,4.56,14.0,39.5,123.0,6.82,4.3,21.0,1,2014
135.0,2042.0,15.1,17.0,63.8,74.0,215.0,4.52,23.0,36.0,122.0,6.93,4.2,21.0,0,2014
177.0,2479.0,14.0,17.0,70.8,75.0,220.0,4.6,15.0,39.0,127.0,7.0,4.0,21.0,1,2014
137.0,1809.0,13.2,15.0,45.2,71.0,205.0,4.65,12.0,28.5,110.0,6.93,4.2,21.0,1,2014
144.0,2366.0,16.4,24.0,48.3,71.0,206.0,4.51,14.0,35.5,116.0,6.93,4.2,22.0,0,2014
156.0,2371.0,15.2,20.0,62.4,74.0,221.0,4.4,13.0,39.5,132.0,7.02,4.3,21.0,1,2014
147.0,2224.5,14.9,17.0,57.4,70.0,179.0,4.34,15.0,36.5,119.0,6.91,4.12,24.0,1,2014
147.0,2224.5,14.9,17.0,57.4,68.0,173.0,4.26,20.0,38.0,122.0,6.86,4.06,23.0,0,2014
203.0,3085.0,15.2,26.0,64.3,69.0,165.0,4.44,15.0,34.0,122.0,6.93,4.2,21.0,0,2014
106.0,1586.0,15.0,16.0,41.7,69.0,197.0,4.45,15.0,39.5,120.0,6.69,3.95,23.0,0,2014
61.0,1354.0,22.2,13.0,36.6,76.0,211.0,4.42,16.0,39.0,124.0,7.18,4.15,22.0,1,2014
81.0,1275.0,15.7,12.0,26.0,74.0,198.0,4.48,8.0,33.0,121.0,6.68,4.32,24.0,0,2014
196.0,2769.0,14.1,21.0,58.9,72.0,199.0,4.64,8.0,35.5,119.0,6.68,4.11,23.0,0,2014
202.0,2901.0,14.4,16.0,59.2,75.0,198.0,4.55,15.0,37.0,124.0,6.89,4.01,23.0,0,2014
202.0,3140.0,15.5,23.0,59.2,73.0,195.0,4.5,4.0,30.5,117.0,6.8,4.08,23.0,0,2014
152.0,2025.0,13.3,20.0,48.2,69.0,193.0,4.48,18.0,35.5,125.0,6.84,4.27,22.0,0,2014
181.0,2429.0,13.4,19.0,47.6,72.0,188.0,4.46,15.0,33.0,119.0,6.82,4.27,22.0,0,2014
147.0,2224.5,14.9,17.0,57.4,73.0,198.0,4.5,15.0,36.5,118.0,7.08,4.2,22.0,0,2014
