Sk,Solo,Ast,Comb,TFL,Int,PD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
16.0,38.0,23.0,61.0,24.5,,,76.0,249.0,4.64,22.0,38.0,124.0,7.52,4.38,21.0,2.0,2009
23.0,75.0,28.0,103.0,34.5,,,75.0,263.0,4.63,31.0,39.5,116.0,7.23,4.39,23.0,33.0,2009
8.5,104.0,74.0,178.0,27.0,,,75.0,243.0,4.64,30.0,35.0,120.0,6.84,4.22,22.0,52.0,2009
31.5,108.0,104.0,212.0,54.5,,,74.0,255.0,4.74,24.0,36.0,107.0,7.26,4.38,23.0,7.0,2009
9.0,80.0,33.0,113.0,31.5,,,75.0,272.0,4.77,18.0,29.5,102.0,7.56,4.51,24.0,13.0,2009
11.5,79.0,53.0,132.0,33.0,,,74.0,299.0,4.98,24.0,33.0,116.0,7.23,4.39,25.0,13.0,2009
5.5,57.0,40.0,97.0,13.5,,,75.0,240.0,4.58,23.0,35.5,121.0,6.9,4.18,23.0,75.0,2009
14.5,88.0,67.0,155.0,22.5,,,75.0,300.0,4.83,34.0,33.0,108.0,7.5,4.55,22.0,27.0,2009
13.0,159.0,216.0,375.0,24.5,,,74.0,244.0,4.72,22.0,33.0,115.0,6.93,4.24,22.0,51.0,2009
9.0,164.0,109.0,273.0,22.5,,,74.0,249.0,4.91,23.0,33.0,83.0,7.23,4.39,22.0,47.0,2009
5.0,50.0,35.0,85.0,22.0,,,75.0,330.0,5.48,32.0,28.0,99.0,8.15,4.73,22.0,6.0,2009
23.0,71.0,28.0,99.0,46.5,,,73.0,256.0,4.65,26.0,31.5,114.0,7.55,4.53,22.0,5.0,2009
27.0,131.0,114.0,245.0,38.5,,,75.0,256.0,4.75,24.0,34.5,119.0,7.37,4.4,23.0,2.0,2009
18.0,77.0,40.0,117.0,28.0,,,74.0,257.0,4.75,35.0,33.0,110.0,7.2,4.46,23.0,1.0,2009
9.5,46.0,44.0,90.0,23.5,,,76.0,305.0,5.07,25.0,30.5,100.0,7.23,4.39,24.0,19.0,2009
10.5,55.0,69.0,124.0,24.0,,,76.0,263.0,4.79,24.0,32.5,108.0,7.52,4.47,23.0,7.0,2009
7.5,63.0,52.0,115.0,30.0,,,74.0,306.0,5.0,24.0,33.0,116.0,7.23,4.39,22.0,11.0,2009
6.0,68.0,49.0,117.0,14.0,,,75.0,298.0,4.82,30.0,29.5,103.0,7.52,4.55,22.0,1.0,2009
21.5,89.0,56.0,145.0,42.0,,,77.0,288.0,4.81,28.0,35.5,119.0,7.7,4.56,22.0,0.0,2009
19.0,70.0,37.0,107.0,30.5,,,79.0,266.0,4.61,28.0,38.5,128.0,7.42,4.37,22.0,50.0,2009
