Int,PD,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
10.0,14.5,60.0,70.0,189.0,4.37,16.0,41.0,136.0,6.88,3.83,25.0,52.0,2003
11.0,14.5,60.0,71.0,199.0,4.38,11.0,39.0,127.0,6.87,4.32,22.0,49.0,2003
6.0,14.5,60.0,70.0,206.0,4.4,16.0,36.0,122.0,6.94,4.16,22.0,96.0,2003
6.0,14.5,60.0,73.0,197.0,4.47,10.0,35.5,128.0,6.78,3.96,23.0,6.0,2003
11.0,14.5,60.0,72.0,186.0,4.42,19.0,40.0,131.0,7.01,4.16,23.0,11.0,2003
7.0,14.5,60.0,74.0,213.0,4.45,16.0,37.5,124.0,6.94,4.16,22.0,56.0,2003
12.0,14.5,60.0,73.0,207.0,4.49,12.0,40.0,131.0,7.05,3.89,22.0,64.0,2003
11.0,14.5,60.0,70.0,192.0,4.48,15.0,38.0,122.0,7.18,4.05,23.0,21.0,2003
6.0,14.5,60.0,73.0,202.0,4.45,22.0,38.5,123.0,7.09,4.17,23.0,56.0,2003
9.0,14.5,60.0,74.0,209.0,4.61,16.0,33.0,117.0,6.8,3.92,22.0,20.0,2003
6.0,14.5,60.0,72.0,198.0,4.39,18.0,35.0,124.0,6.94,4.16,22.0,15.0,2003
6.0,14.5,60.0,73.0,219.0,4.6,13.0,36.0,122.0,6.94,4.16,22.0,11.0,2003
8.0,14.5,60.0,70.0,207.0,4.45,16.0,36.0,122.0,6.94,4.16,22.0,16.0,2003
8.0,14.5,60.0,71.0,204.0,4.46,16.0,38.0,127.0,6.88,3.96,22.0,17.0,2003
13.0,14.5,60.0,69.0,185.0,4.52,12.0,36.5,117.0,7.11,4.17,22.0,14.0,2003
4.0,14.5,60.0,70.0,187.0,4.53,16.0,35.5,121.0,6.98,4.04,22.0,5.0,2003
3.0,14.5,60.0,74.0,205.0,4.45,16.0,36.0,122.0,6.94,4.16,22.0,2.0,2003
5.0,14.5,60.0,73.0,204.0,4.38,9.0,38.0,125.0,7.14,4.13,23.0,0.0,2003
9.0,14.5,60.0,73.0,206.0,4.56,19.0,33.5,117.0,7.01,4.19,24.0,9.0,2003
8.0,14.5,60.0,70.0,192.0,4.49,18.0,36.0,118.0,6.82,4.0,23.0,9.0,2003
6.0,14.5,60.0,70.0,201.0,4.57,15.0,37.0,126.0,6.88,4.09,22.0,49.0,2003
