draft_year,pick,round,pos,G,age,avg_team_sp,qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,Sk,Solo,Ast,Comb,TFL,Int,PD
2015,109,4,DB,53.0,23.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,30.0
2011,173,6,DB,53.0,23.0,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0
2020,220,7,WR,53.0,22.0,29.296511627906977,,,,,,,,,,,,,,,,,,201.0,2332.0,11.6,20.0,44.0,,,,,,,
2015,54,2,RB,53.0,22.0,14.905194805194808,,,,,,,,,,813.0,4588.0,5.6,39.0,73.0,690.0,9.5,7.0,,,,,,,,,,,,
2013,115,4,QB,53.0,24.0,26.1,1388.0,2183.0,63.6,16646.0,123.0,52.0,7.6,7.68,314.1,,,,,,,,,,,,,,,,,,,,
2013,53,2,DL,53.0,26.0,-7.6,,,,,,,,,,,,,,,,,,,,,,,16.5,60.0,52.0,112.0,28.0,,
2012,223,7,LB,53.0,24.0,27.075,,,,,,,,,,,,,,,,,,,,,,,7.0,243.0,203.0,446.0,31.0,,
2013,125,4,RB,53.0,23.0,7.6,,,,,,,,,,788.0,4403.0,5.6,31.0,58.0,517.0,8.9,3.0,,,,,,,,,,,,
2012,205,6,DL,53.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,16.0,64.0,69.0,133.0,36.5,,
2012,105,4,LB,53.0,23.0,15.756521739130434,,,,,,,,,,,,,,,,,,,,,,,9.0,188.0,117.0,305.0,21.5,,
2012,123,4,DB,53.0,22.0,21.935714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
2012,35,2,LB,53.0,22.0,32.5,,,,,,,,,,,,,,,,,,,,,,,17.5,88.0,53.0,141.0,36.5,,
2020,190,6,TE,53.0,22.0,27.106122448979598,,,,,,,,,,,,,,,,,,34.0,376.0,11.1,1.0,7.1,,,,,,,
2014,176,5,WR,53.0,23.0,21.285714285714285,,,,,,,,,,,,,,,,,,202.0,3140.0,15.5,23.0,59.2,,,,,,,
2014,164,5,QB,53.0,23.0,,686.0,1026.0,66.9,9019.0,77.0,15.0,8.8,9.63,170.2,,,,,,,,,,,,,,,,,,,,
2012,93,3,DL,53.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,4.5,59.0,70.0,129.0,19.5,,
2006,155,5,TE,53.0,23.0,,,,,,,,,,,,,,,,,,,58.0,724.0,12.5,12.0,13.7,,,,,,,
2013,254,7,TE,53.0,22.0,16.9,,,,,,,,,,,,,,,,,,50.0,581.0,11.6,1.0,11.0,,,,,,,
2012,124,4,DB,53.0,23.0,25.465217391304343,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0
2008,97,3,WR,53.0,23.0,,,,,,,,,,,,,,,,,,,185.0,2349.0,12.7,16.0,44.3,,,,,,,
2012,167,5,DB,53.0,22.0,22.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0
2022,231,7,LB,53.0,23.0,27.774074074074072,,,,,,,,,,,,,,,,,,,,,,,9.0,99.0,93.0,192.0,22.0,,
